"","year","month","Lati","Long","area","Nrec","Sardine_Egg","Anchovy_Egg","SSTmean"
"1",1978,1,27.5,150.25,78026711.3366127,1,19133437443.7384,0,15.455
"2",1978,1,40.5,149.75,66467066.3302207,1,16298821697.248,0,11.409
"3",1978,1,30.9166666666667,138.916666666667,73560730.6111771,3,14800660725.5326,0,14.45
"4",1978,1,29.9166666666667,136,74537548.2670186,2,0,35149686674.5089,14.262
"5",1978,1,38.75,141.916666666667,67019638.6420212,6,0,29076107354.6117,12.333
"6",1978,1,35.6666666666667,140.416666666667,69718574.4313785,7,18411233237.9304,28055212553.0368,13.48
"7",1978,1,32.5,134,72854633.5775476,7,17407077622.4627,0,13.35
"8",1978,1,33.5,136.166666666667,71723873.3024173,15,0,0,13.338
"9",1978,1,25.3333333333333,151.166666666667,79960522.0466185,0,0,30668359604.6063,15.489
"10",1978,1,34.4166666666667,146.166666666667,71371076.0772858,4,13013836128.1242,30066448985.6663,13.639
"11",1978,1,31.5,149.916666666667,74790844.5535412,2,0,0,13.719
"12",1978,1,31.3333333333333,144.666666666667,73621055.7442946,3,0,0,14.071
"13",1978,1,39.0833333333333,146.75,67250642.6119003,1,13953895606.0082,0,12.434
"14",1978,1,29.75,128.75,76538359.304863,4,0,27912082043.7225,14.514
"15",1978,1,31,149.416666666667,75032383.1563883,1,17927404938.6494,0,14.121
"16",1978,1,32,143.25,72908736.4471161,1,0,22921058370.6524,13.547
"17",1978,1,40.25,152.5,67460738.0948486,1,18663318005.9894,0,10.81
"18",1978,1,34.8333333333333,149.416666666667,71778093.9126182,0,0,26627416045.9275,12.857
"19",1978,1,31.9166666666667,140.166666666667,72784284.4086829,6,24712487771.8363,0,13.518
"20",1978,1,43.3333333333333,151.5,63909966.3647346,1,14466257151.6932,27325152397.6427,10.818
